  Generating ../edge.epk
  Adding graphics/heretic/h_sndopt.gfx            62.6% [  1028/  2746] Deflate
  Adding graphics/heretic/h_therml.gfx            48.4% [   287/   556] Deflate
  Adding graphics/heretic/h_thermm.gfx            52.7% [    87/   184] Deflate
  Adding graphics/heretic/h_thermo.gfx            37.9% [   139/   224] Deflate
  Adding graphics/heretic/h_thermr.gfx            48.4% [   287/   556] Deflate
  Adding graphics/heretic/h_ultra.gfx             68.3% [  1399/  4410] Deflate
  Adding graphics/heretic/h_video.gfx             58.7% [  1084/  2626] Deflate
  Adding graphics/menu/m_2playr.gfx               62.0% [  1410/  3713] Deflate
  Adding graphics/menu/m_connec.gfx               66.6% [  1254/  3749] Deflate
  Adding graphics/menu/m_contrl.gfx               63.0% [   989/  2671] Deflate
  Adding graphics/menu/m_epi4.gfx                 65.2% [  1597/  4587] Deflate
  Adding graphics/menu/m_epi6.gfx                 61.6% [  1164/  3030] Deflate
  Adding graphics/menu/m_epi7.gfx                 62.8% [  1160/  3117] Deflate
  Adding graphics/menu/m_epi8.gfx                 65.3% [  1590/  4578] Deflate
  Adding graphics/menu/m_gamepl.gfx               65.7% [  1631/  4762] Deflate
  Adding graphics/menu/m_hostng.gfx               63.5% [  1394/  3820] Deflate
  Adding graphics/menu/m_joinng.gfx               64.3% [  1279/  3578] Deflate
  Adding graphics/menu/m_msettl.gfx               67.6% [  1276/  3943] Deflate
  Adding graphics/menu/m_multi.gfx                66.6% [  1213/  3632] Deflate
  Adding graphics/menu/m_scropt.gfx               69.0% [  1340/  4318] Deflate
  Adding graphics/menu/m_setres.gfx               68.6% [  1314/  4187] Deflate
  Adding graphics/menu/m_setupa.gfx               63.5% [  1417/  3886] Deflate
  Adding graphics/menu/m_setupb.gfx               62.0% [  1445/  3804] Deflate
  Adding graphics/menu/m_setupm.gfx               56.2% [  1155/  2636] Deflate
  Adding graphics/menu/m_sfxopt.gfx               69.2% [  1220/  3958] Deflate
  Adding graphics/menu/m_stserv.gfx               70.0% [   900/  3005] Deflate
  Adding graphics/menu/m_video.gfx                65.9% [  1250/  3664] Deflate
  Adding graphics/rott/MMBKD.lmp                  59.5% [ 27113/ 66888] Deflate
  Adding graphics/rott/PLANE2.lmp                 63.9% [ 17377/ 48104] Deflate
  Adding graphics/rott/TNGAME.lmp                 65.7% [   590/  1718] Deflate
  Adding graphics/rott/TQUITG.lmp                 58.9% [   523/  1274] Deflate
  Adding graphics/rott/TRI2.lmp                   75.2% [ 16577/ 66888] Deflate
  Adding graphics/rott/rt_pause.lmp               54.0% [  1145/  2488] Deflate
  Adding graphics/system/dlitexpn.png              1.3% [  4653/  4715] Deflate
  Adding graphics/system/fuzzmap8.png             49.2% [  7517/ 14800] Deflate
  Adding graphics/system/mouse.gfx                43.7% [   103/   183] Deflate
  Adding graphics/system/multiplayer/stfb0.gfx    90.9% [   128/  1408] Deflate
  Adding graphics/system/multiplayer/stfb1.gfx    90.9% [   128/  1408] Deflate
  Adding graphics/system/multiplayer/stfb2.gfx    90.9% [   128/  1408] Deflate
  Adding graphics/system/multiplayer/stfb3.gfx    90.9% [   128/  1408] Deflate
  Adding graphics/system/multiplayer/stfb4.gfx    90.9% [   128/  1408] Deflate
  Adding graphics/system/multiplayer/stfb5.gfx    90.9% [   128/  1408] Deflate
  Adding graphics/system/multiplayer/stfb6.gfx    90.9% [   128/  1408] Deflate
  Adding graphics/system/multiplayer/stfb7.gfx    90.9% [   128/  1408] Deflate
  Adding graphics/system/multiplayer/stpb0.gfx    91.7% [   122/  1478] Deflate
  Adding graphics/system/multiplayer/stpb1.gfx    91.9% [   120/  1478] Deflate
  Adding graphics/system/multiplayer/stpb2.gfx    91.7% [   122/  1478] Deflate
  Adding graphics/system/multiplayer/stpb3.gfx    91.9% [   120/  1478] Deflate
  Adding graphics/system/multiplayer/stpb4.gfx    91.7% [   122/  1478] Deflate
  Adding graphics/system/multiplayer/stpb5.gfx    91.7% [   122/  1478] Deflate
  Adding graphics/system/multiplayer/stpb6.gfx    91.8% [   121/  1478] Deflate
  Adding graphics/system/multiplayer/stpb7.gfx    91.7% [   122/  1478] Deflate
